experiment,comparison_role,family,k,horizon,left,right,metric,mean_difference,ci_low,ci_high,n_pairs,n_left,n_right,unit
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,bayes_ucb,pseudo_regret,0.03284191158427396,-0.10198057809520655,0.17940777235674338,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,bayes_ucb,reward,0.005,-0.17,0.17,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,bayes_ucb,exact_loss,0.006853745414746941,-0.014267516849966024,0.028659699673416805,200,200,200,episode
e3_exact_online,primary_assistance,prior,2,20,bayes_direct,counts_direct,pseudo_regret,-0.05027002130087478,-0.17943652099857402,0.06414517682147819,200,200,200,episode
e3_exact_online,primary_assistance,prior,2,20,bayes_direct,counts_direct,reward,0.11,-0.02,0.255,200,200,200,episode
e3_exact_online,primary_assistance,prior,2,20,bayes_direct,counts_direct,exact_loss,-0.1202830658122067,-0.15974375889146136,-0.08367894947690639,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,bayes_direct,exact,pseudo_regret,0.06515275218595563,-0.05471369749558958,0.19372476480499407,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,bayes_direct,exact,reward,-0.07,-0.235,0.09,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,bayes_direct,exact,exact_loss,0.06488700468448272,0.04670012827320292,0.0855221932911964,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,finite_ap_index,pseudo_regret,0.07317313616752222,-0.050464399913288896,0.20715786359375574,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,finite_ap_index,reward,-0.05,-0.22,0.11,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,finite_ap_index,exact_loss,0.06324370235071367,0.04459146672398542,0.08374639639318292,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,greedy,pseudo_regret,0.16645909203266832,0.031032373676792006,0.31217241035540444,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,greedy,reward,-0.125,-0.285,0.03,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,greedy,exact_loss,0.0025378107088263203,-0.018952127120695692,0.02405616353325451,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,ids,pseudo_regret,0.041589601827525725,-0.06738582134198286,0.15818130484847454,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,ids,reward,-0.035,-0.185,0.11,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,ids,exact_loss,0.028736299268914273,0.009996663230717564,0.04841100614524456,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,knowledge_gradient,pseudo_regret,-0.0010181839348273015,-0.12920288025745863,0.13193021762370108,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,knowledge_gradient,reward,0.03,-0.155,0.21,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,knowledge_gradient,exact_loss,0.03328841378536038,0.012242654339325861,0.05699891016125407,200,200,200,episode
e3_exact_online,primary_vs_ts,prior,2,20,bayes_direct,ts,pseudo_regret,-0.5114066038270029,-0.6538885687219083,-0.365499183980444,200,200,200,episode
e3_exact_online,primary_vs_ts,prior,2,20,bayes_direct,ts,reward,0.625,0.4,0.84,200,200,200,episode
e3_exact_online,primary_vs_ts,prior,2,20,bayes_direct,ts,exact_loss,-0.43762775406430604,-0.486159822885651,-0.38929545914660946,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,ucb1,pseudo_regret,-0.8988740988678791,-1.0885549438408795,-0.7053926756503083,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,ucb1,reward,0.975,0.714875,1.215,200,200,200,episode
e3_exact_online,secondary_baseline,prior,2,20,bayes_direct,ucb1,exact_loss,-0.8676410600763441,-0.9402499875053065,-0.7961165263381107,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,bayes_sample,bayes_direct,pseudo_regret,0.39986639219476294,0.2759682815848337,0.5219057793223387,200,200,200,episode
e3_exact_online,planned_comparison,prior,2,20,bayes_sample,bayes_direct,reward,-0.56,-0.725,-0.39,200,200,200,episode
